recno,Source,n_Source,Name,RGal,dSun,theta,Diam,He+/H+,Snu,ne,Te,e_Te,Qc,Ql,SimbadName,_RA,_DE
1,"G0.605+0.325 ","   "," ",11.5,20.0,5.7,33.2,0.065,0.8,13.2,6600,320,B,E,"[LPH96] 000.605+0.325",266.45,-28.25
2,"G0.665-0.035 ","   ","Sgr B2",0.4,8.9,4.8,12.3,0.038,40.3,194.7,8170,180,A,C,"Sgr B2",266.82,-28.38
3,"G1.13-0.1    ","   "," ",0.1,8.5,7.6,18.7,0.065,10.6,50.0,7130,70,C,B,"[WWB83] G001.13-0.10",267.16,-28.03
4,"G2.90+0.0    ","   "," ",10.7,19.2,7.9,44.2,0.052,1.3,10.1,4840,140,C,D,"Gal 2.90+0.0",268.1,-26.45
5,"G3.270-0.101 ","   "," ",5.5,14.0,7.4,30.0,0.077,4.0,24.9,7440,280,B,C,"G3.270-0.101",268.4,-26.18
6,"G5.899-0.427 ","   "," ",6.1,14.5,5.9,25.0,0.079,18.8,78.9,11130,170,B,C,"OH 05.89-0.39",270.12,-24.07
7,"G5.956-1.265 ","   "," ",7.8,16.2,11.6,54.8,0.074,35.1,30.9,3420,30,C,B,"[L89b] 5.956-1.265",271.0,-24.43
8,"G5.973-1.178 ","   ","M8",7.8,16.2,5.6,26.3,0.073,32.9,103.1,8180,70,B,B,"M8",270.9,-24.38
9,"G8.137+0.228 ","   "," ",5.2,3.4,2.7,2.7,0.088,5.8,276.7,7090,60,A,C,"[L89b] 8.137+0.228",270.75,-21.8
10,"G10.159-0.34 ","   ","W31 A",6.6,14.7,4.6,19.6,0.034,44.7,164.4,6830,30,A,A,"W31 A",272.62,-19.93
11,"G10.315-0.15 ","   "," ",7.0,15.2,4.1,18.2,0.07,12.0,98.6,6800,40,A,B,"[L89b] 10.315-0.150",272.25,-20.08
12,"G10.617-0.38 ","   ","W31 B",8.9,17.1,4.6,22.7,0.059,9.9,76.3,9810,90,B,D,"W31 B",272.62,-19.93
13,"G12.807-0.20 ","   ","W33",5.0,12.9,2.8,10.6,0.047,31.0,305.9,7620,100,A,C,"W33",273.55,-17.93
14,"G13.875+0.28 ","   "," ",4.3,4.5,2.1,2.7,0.059,3.5,277.1,6960,80,A,C,"[WAM82] 013.873+0.282",273.65,-16.77
15,"G14.626+0.08 ","   "," ",5.1,12.9,12.6,47.0,0.061,16.7,22.9,5510,70,C,D,"[L89b] 14.626+00.087",274.2,-16.18
16,"G15.035-0.68 ","d  ","M17 S",6.8,14.7,6.9,29.3,0.091,272.2,215.4,5720,60,C,C,"NAME M 17S",275.1,-16.2
17,"G15.095-0.71 ","d  ","M17 N",6.5,14.4,10.7,44.8,0.094,450.3,154.9,9280,120,C,B,"NAME M 17N",275.17,-16.15
18,"G15.181-0.62 ","   "," ",6.8,14.6,8.3,35.3,0.059,34.6,66.0,12900,160,C,D,"[L89b] 15.181-00.625",275.12,-16.03
19,"G15.198-0.76 ","   "," ",6.2,14.0,9.9,40.2,0.086,20.6,38.3,9770,120,C,D,"[L89b] 15.198-0.768",275.27,-16.1
20,"G16.936+0.76 ","e  ","M16",6.2,2.4,10.7,7.5,0.105,29.3,94.1,7880,140,C,D,"[L89b] 16.936+00.758",274.72,-13.83
21,"G16.936+0.76 ","d,e","M16",6.2,2.4,10.9,7.7,0.071,30.5,92.6,7740,120,C,C,"[L89b] 16.936+00.758",274.72,-13.83
22,"G16.984+0.93 ","d,e","M16 N",6.3,2.4,10.9,7.5,0.101,25.3,83.8,6890,60,C,C,"[L89b] 16.936+00.758",274.72,-13.83
23,"G16.995+0.86 ","   "," ",6.3,2.3,12.8,8.7,0.067,34.4,78.1,6970,70,C,C,"[L89b] 16.995+0.868",274.65,-13.73
24,"G18.143-0.28 ","   "," ",4.7,4.1,4.1,4.9,0.047,6.6,141.7,7180,70,B,C,"Gal 18.15-0.28",276.25,-13.27
25,"G18.686+1.96 ","   ","S54",6.3,13.7,5.0,20.0,0.075,8.4,65.2,7210,60,B,C,"Sh 2-54",274.47,-11.68
26,"G19.066-0.28 ","   "," ",4.4,11.5,5.7,19.1,0.019,7.2,51.4,5440,70,B,C,"[L89b]  19.066-0.281",276.7,-12.45
27,"G19.608-0.23 ","   "," ",5.5,12.7,3.3,12.2,0.07,6.5,109.4,6480,80,B,D,"Gal 19.60-0.23",276.9,-11.95
28,"G20.733-0.09 ","   "," ",4.9,11.9,6.7,23.1,0.052,8.5,43.9,5590,90,A,A,"[WWB83] G020.73-0.09",277.3,-10.88
29,"G23.421-0.21 ","e  "," ",3.7,6.3,5.6,10.2,0.13,9.6,85.6,6630,60,B,C,"[L89b] 23.421-0.214",278.67,-8.55
30,"G23.421-0.21 ","e  "," ",3.7,6.3,5.6,10.2,0.049,9.2,84.0,6370,50,B,B,"[L89b] 23.421-0.214",278.67,-8.55
31,"G23.706+0.17 ","   "," ",3.7,6.4,4.5,8.4,0.066,3.0,66.7,6840,110,C,C,"[WC89] 023.71+0.17A",278.47,-8.12
32,"G24.467+0.48 ","   "," ",3.9,6.1,2.6,4.6,0.07,4.3,185.7,6370,80,A,B,"[WWB83] G024.47+0.49",278.55,-7.3
33,"G24.484+0.21 ","   "," ",3.5,7.7,10.5,23.5,0.062,10.4,31.4,6360,90,C,D,"[L89b] 24.484+0.211",278.8,-7.42
34,"G24.805+0.09 ","   "," ",3.7,6.8,6.0,11.7,0.061,7.5,65.2,5860,90,B,C,"[WWB83] G024.81+0.10",279.05,-7.18
35,"G25.382-0.18 ","e  ","3C 385",5.2,11.4,5.2,17.3,0.059,17.6,101.8,9280,90,A,D,"3C 385",279.47,-6.98
36,"G25.382-0.18 ","e  ","3C 385",5.2,11.5,5.1,17.1,0.067,16.9,98.5,7460,70,A,A,"3C 385",279.47,-6.98
37,"G25.766+0.21 ","   "," ",3.7,7.3,7.6,16.1,0.029,8.0,45.7,6120,100,C,C,"[WWB83] G025.77+0.21",279.4,-6.28
38,"G28.790+3.48 ","   ","S64/W40",8.5,14.9,8.5,36.9,0.049,26.2,51.0,8450,70,B,B,"W40",277.87,-2.08
39,"G29.944-0.04 ","   "," ",4.5,6.0,6.6,11.5,0.064,17.7,92.8,6510,90,A,A,"[L89b] 29.944-0.042",281.52,-2.68
40,"G30.776-0.03 ","   ","W43",4.6,5.7,6.2,10.3,0.081,59.5,193.3,7030,50,B,A,"W43",282.0,-1.95
41,"G32.797+0.19 ","   "," ",7.7,13.3,2.6,9.9,0.099,4.6,138.4,8930,110,A,D,"[L89b] 32.797+0.192",282.62,-0.03
42,"G34.254+0.14 ","   ","NRAO 584",6.1,10.8,3.1,9.9,0.092,14.0,197.8,8960,60,A,B,"NRAO 584",283.32,1.25
43,"G35.194-1.75 ","   ","W48",6.4,2.8,1.9,1.6,0.078,13.1,790.9,9100,50,A,A,"W48",285.45,1.22
44,"G40.505+2.54 ","   ","S76",7.5,1.3,4.2,1.6,0.026,4.2,195.6,7820,100,A,C,"Sh 2-76",284.1,7.8
45,"G43.169+0.00 ","e  ","W49",8.1,11.9,3.4,11.7,0.078,43.9,294.3,8170,40,A,A,"W49",287.57,9.1
46,"G43.169+0.00 ","e  ","W49",8.1,11.9,3.7,12.7,0.087,44.0,260.0,8410,50,C,A,"W49",287.57,9.1
47,"G45.451+0.06 ","   ","K47",6.5,8.3,3.2,7.7,0.079,8.0,164.9,8550,70,A,C,"[WWB83] G045.45+0.06",288.57,11.15
48,"G46.495-0.25 ","   "," ",6.5,7.8,6.7,15.1,0.091,4.6,39.2,4860,80,A,C,"[L89b] 46.495-0.247",289.35,11.93
49,"G48.930-0.28 ","   "," ",6.4,5.6,6.2,10.0,0.073,20.1,118.2,8440,60,B,B,"[WWB83] G048.93-0.29",290.57,14.07
50,"G48.997-0.29 ","   "," ",6.4,5.6,8.6,13.9,0.069,26.4,82.4,8170,50,C,B,"[L89b] 48.997-0.295",290.6,14.12
51,"G49.204-0.34 ","   "," ",6.4,5.6,4.8,7.7,0.078,18.4,169.9,9070,70,B,B,"[WMG70] 049.2-00.3",290.75,14.28
52,"G49.384-0.30 ","e  "," ",6.5,5.5,5.4,8.7,0.07,27.1,169.1,9010,90,B,C,"[L89b] 49.384-0.298",290.8,14.47
53,"G49.384-0.30 ","e  "," ",6.7,7.2,5.3,11.1,0.073,25.4,146.8,8160,40,B,A,"[L89b] 49.384-0.298",290.8,14.47
54,"G49.486-0.38 ","e  ","W51",6.5,6.3,3.7,6.7,0.092,82.2,489.8,7890,20,A,A,"W51",290.92,14.52
55,"G49.486-0.38 ","e  ","W51",6.5,6.3,4.1,7.5,0.084,82.5,411.4,7240,60,C,A,"W51",290.92,14.52
56,"G49.582-0.38 ","   "," ",6.6,4.4,4.7,6.1,0.083,6.6,91.3,1850,90,C,A,"[L89b] 49.582-0.381",290.97,14.6
57,"G61.470+0.09 ","   ","S88",7.6,2.4,0.4,0.3,0.066,4.9,5391.6,9120,60,A,C,"Sh 2-88",296.7,25.22
58,"G63.168+0.46 ","   ","S90",8.0,1.5,4.7,2.0,0.074,3.8,148.3,7370,70,B,A,"Sh 2-90",297.32,26.88
59,"G70.300+1.60 ","   ","K3-50",9.8,8.5,3.9,9.6,0.103,13.2,161.9,10810,130,A,C,"[L89b] 70.300+01.600",300.45,33.55
60,"G75.834+0.40 ","   "," ",8.8,5.1,3.2,4.7,0.096,9.0,223.1,8370,50,B,C,"[WAM82] 075.84+0.40",305.4,37.52
61,"G76.383-0.62 ","   ","S106",8.4,0.7,2.1,0.4,0.081,10.4,1352.2,12930,170,A,D,"Sh 2-106",306.87,37.38
62,"G79.293+1.30 ","e  ","DR 7",10.6,8.2,4.1,9.8,0.089,10.0,127.0,9100,70,B,B,"DR 7",307.07,40.88
63,"G79.293+1.30 ","e  ","DR 7",10.6,8.2,4.8,11.4,0.099,11.3,106.8,8220,80,C,B,"DR 7",307.07,40.88
64,"G81.681+0.54 ","   ","DR 21",8.5,2.2,2.2,1.4,0.068,19.4,853.8,9120,40,A,A,"DR 21",309.75,42.33
